family,preset,dataset,split,metric,value,tolerance,seed,evaluator,source
llava15,32,gqa,testdev_balanced,accuracy_percent,55.0,0.1,42,official_gqa,paper_llava15_table
llava15,32,sqa,test,image_accuracy_percent,69.0,0.1,42,local_scienceqa,paper_llava15_table
llava15,32,textvqa,val_v0.5.1,accuracy_percent,53.9,0.1,42,m4c_textvqa,paper_llava15_table
llava15,32,pope,test_three_subsets,mean_f1_percent,82.7,0.1,42,official_pope,paper_llava15_table
llava15,32,mme,official_release,overall_score,1651,0.1,42,official_mme,paper_llava15_table
llava15,32,mmbench,dev_en_20230712,overall_percent,61.4,0.1,42,official_mmbench,paper_llava15_table
llava15,32,mmbench_cn,dev_cn_20231003,overall_percent,51.7,0.1,42,official_mmbench,paper_llava15_table
llava15,32,aggregate,published_relative_accuracy,relative_accuracy_percent,92.8,0.1,42,published_relative_accuracy,paper_llava15_table
llava15,64,gqa,testdev_balanced,accuracy_percent,57.8,0.1,42,official_gqa,paper_llava15_table
llava15,64,sqa,test,image_accuracy_percent,68.9,0.1,42,local_scienceqa,paper_llava15_table
llava15,64,textvqa,val_v0.5.1,accuracy_percent,56.6,0.1,42,m4c_textvqa,paper_llava15_table
llava15,64,pope,test_three_subsets,mean_f1_percent,85.2,0.1,42,official_pope,paper_llava15_table
llava15,64,mme,official_release,overall_score,1769,0.1,42,official_mme,paper_llava15_table
llava15,64,mmbench,dev_en_20230712,overall_percent,61.9,0.1,42,official_mmbench,paper_llava15_table
llava15,64,mmbench_cn,dev_cn_20231003,overall_percent,56.0,0.1,42,official_mmbench,paper_llava15_table
llava15,64,aggregate,published_relative_accuracy,relative_accuracy_percent,96.5,0.1,42,published_relative_accuracy,paper_llava15_table
llava15,128,gqa,testdev_balanced,accuracy_percent,60.3,0.1,42,official_gqa,paper_llava15_table
llava15,128,sqa,test,image_accuracy_percent,68.9,0.1,42,local_scienceqa,paper_llava15_table
llava15,128,textvqa,val_v0.5.1,accuracy_percent,57.8,0.1,42,m4c_textvqa,paper_llava15_table
llava15,128,pope,test_three_subsets,mean_f1_percent,86.5,0.1,42,official_pope,paper_llava15_table
llava15,128,mme,official_release,overall_score,1842,0.1,42,official_mme,paper_llava15_table
llava15,128,mmbench,dev_en_20230712,overall_percent,63.6,0.1,42,official_mmbench,paper_llava15_table
llava15,128,mmbench_cn,dev_cn_20231003,overall_percent,57.2,0.1,42,official_mmbench,paper_llava15_table
llava15,128,aggregate,published_relative_accuracy,relative_accuracy_percent,98.8,0.1,42,published_relative_accuracy,paper_llava15_table
llava_next,160,gqa,testdev_balanced,accuracy_percent,59.0,0.1,42,official_gqa,paper_llavanext_table
llava_next,160,textvqa,val_v0.5.1,accuracy_percent,56.9,0.1,42,m4c_textvqa,paper_llavanext_table
llava_next,160,mme,official_release,overall_score,1717,0.1,42,official_mme,paper_llavanext_table
llava_next,160,mmbench,dev_en_20230712,overall_percent,63.9,0.1,42,official_mmbench,paper_llavanext_table
llava_next,160,aggregate,four_benchmark,relative_accuracy_percent,93.0,0.1,42,relative_accuracy,paper_llavanext_table
llava_next,320,gqa,testdev_balanced,accuracy_percent,60.9,0.1,42,official_gqa,paper_llavanext_table
llava_next,320,textvqa,val_v0.5.1,accuracy_percent,59.3,0.1,42,m4c_textvqa,paper_llavanext_table
llava_next,320,mme,official_release,overall_score,1826,0.1,42,official_mme,paper_llavanext_table
llava_next,320,mmbench,dev_en_20230712,overall_percent,64.9,0.1,42,official_mmbench,paper_llavanext_table
llava_next,320,aggregate,four_benchmark,relative_accuracy_percent,96.6,0.1,42,relative_accuracy,paper_llavanext_table
videollava,136,tgif,zero_shot_test,accuracy_percent,48.9,0.1,42,videoqa_gpt_judge,paper_videollava_table
videollava,136,msvd,zero_shot_test,accuracy_percent,69.2,0.1,42,videoqa_gpt_judge,paper_videollava_table
videollava,136,msrvtt,zero_shot_test,accuracy_percent,56.2,0.1,42,videoqa_gpt_judge,paper_videollava_table
videollava,136,aggregate,three_benchmark,relative_accuracy_percent,99.0,0.1,42,relative_accuracy,paper_videollava_table
